YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,NS13,10107,15035
2021-09,WEEKENDS/HOLIDAY,5,TRAIN,NS13,4158,577
2021-09,WEEKDAY,5,TRAIN,NS13,23650,3243
2021-09,WEEKENDS/HOLIDAY,5,TRAIN,PW6,101,0
2021-09,WEEKDAY,5,TRAIN,PW6,525,3
2021-09,WEEKDAY,13,TRAIN,CC21,5526,5385
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,CC21,2437,2638
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,PE7,949,930
2021-09,WEEKDAY,14,TRAIN,PE7,2559,3565
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,CC20,1599,1175
2021-09,WEEKDAY,10,TRAIN,CC20,3742,2974
2021-09,WEEKDAY,16,TRAIN,NS14,16674,24031
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,NS14,7404,7832
2021-09,WEEKDAY,11,TRAIN,NS15,13042,7697
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,NS15,4384,2220
2021-09,WEEKENDS/HOLIDAY,5,TRAIN,CC22/EW21,265,77
2021-09,WEEKDAY,5,TRAIN,CC22/EW21,1961,1015
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,BP4,606,358
2021-09,WEEKDAY,11,TRAIN,BP4,2530,1823
2021-09,WEEKDAY,11,TRAIN,NS27/CE2,1049,1067
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2,449,568
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,5313,1777
2021-09,WEEKDAY,9,TRAIN,NS17/CC15,18307,5483
2021-09,WEEKENDS/HOLIDAY,6,TRAIN,EW10,2199,673
2021-09,WEEKDAY,6,TRAIN,EW10,13830,3092
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,NS28,271,1480
2021-09,WEEKDAY,8,TRAIN,NS28,1161,2853
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,EW33,921,1637
2021-09,WEEKDAY,7,TRAIN,EW33,2395,11193
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,BP12,463,568
2021-09,WEEKDAY,18,TRAIN,BP12,2361,5018
2021-09,WEEKDAY,0,TRAIN,EW14/NS26,241,59
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,62,22
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,CG2,4,0
2021-09,WEEKDAY,0,TRAIN,CG2,27,11
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,NE5,2666,3204
2021-09,WEEKDAY,16,TRAIN,NE5,7664,6018
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,13546,10298
2021-09,WEEKDAY,11,TRAIN,NE16/STC,30780,23717
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,TE6,1741,776
2021-09,WEEKDAY,9,TRAIN,TE6,4155,1642
2021-09,WEEKDAY,13,TRAIN,EW9,14718,9763
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,EW9,6014,5226
2021-09,WEEKDAY,12,TRAIN,TE3,6025,2193
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,TE3,1574,998
2021-09,WEEKENDS/HOLIDAY,5,TRAIN,EW15,80,54
2021-09,WEEKDAY,5,TRAIN,EW15,669,817
2021-09,WEEKDAY,18,TRAIN,NS7,13965,6492
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,NS7,1827,2352
2021-09,WEEKDAY,0,TRAIN,NS15,387,777
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,NS15,109,268
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,NS15,3543,3316
2021-09,WEEKDAY,15,TRAIN,NS15,15590,10293
2021-09,WEEKDAY,22,TRAIN,DT7,1443,923
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,DT7,544,333
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,PW4,668,668
2021-09,WEEKDAY,15,TRAIN,PW4,1091,1627
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,TE4,434,217
2021-09,WEEKDAY,22,TRAIN,TE4,872,694
2021-09,WEEKDAY,8,TRAIN,TE5,1791,876
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,TE5,523,271
2021-09,WEEKENDS/HOLIDAY,17,TRAIN,CC6,3382,3118
2021-09,WEEKDAY,17,TRAIN,CC6,6620,5581
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,NE8,3989,6033
2021-09,WEEKDAY,8,TRAIN,NE8,15836,24528
2021-09,WEEKDAY,20,TRAIN,CC7,2621,4544
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,CC7,953,1581
2021-09,WEEKDAY,20,TRAIN,NS3,6708,21221
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,NS3,2552,5960
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1103,364
